Ep: 196, Reward: -78.59327217125357, Avg: -57.32625123228408
Ep: 197, Reward: -68.6411149825787, Avg: -57.232788168273395
Ep: 198, Reward: -58.208955223881034, Avg: -57.11117401680849
Ep: 199, Reward: -72.69624573378846, Avg: -57.79051742652733
Ep: 200, Reward: -81.13207547169773, Avg: -57.962198541604664
Ep: 201, Reward: -13.725490196079136, Avg: -57.413178933761536
Ep: 202, Reward: -51.67286245353195, Avg: -57.40049579359096
Ep: 203, Reward: -32.20338983050881, Avg: -56.96225571929332
Ep: 204, Reward: -35.15358361774753, Avg: -56.56379155547077
Ep: 205, Reward: -62.457337883959575, Avg: -56.796473042418484
Ep: 206, Reward: -50.19157088122688, Avg: -56.95582819759752
Ep: 207, Reward: -62.19931271477746, Avg: -57.20512759780802
Ep: 208, Reward: -71.09826589595397, Avg: -57.50638803454533
Ep: 209, Reward: -50.00000000000034, Avg: -57.74439541461914
Ep: 210, Reward: -71.63120567375906, Avg: -57.650821539797796
Ep: 211, Reward: -61.038961038961716, Avg: -57.53239759086539
Ep: 212, Reward: -72.60273972602747, Avg: -57.47447437084172
Ep: 213, Reward: -62.328767123288195, Avg: -57.64124030294416
Ep: 214, Reward: -50.19157088122641, Avg: -57.65685464189342
Ep: 215, Reward: -67.62589928057591, Avg: -57.6153716992153
Ep: 216, Reward: -64.9122807017548, Avg: -57.540568125864745
Ep: 217, Reward: -75.60975609756092, Avg: -57.76804615822081
Ep: 218, Reward: -49.044585987261456, Avg: -57.645815961755396
Ep: 219, Reward: -80.32786885245868, Avg: -57.74063983978435
Ep: 220, Reward: -32.43243243243287, Avg: -57.82035984756191
Ep: 221, Reward: -12.457912457912323, Avg: -57.3434896967787
Ep: 222, Reward: -78.26086956521718, Avg: -58.184118870246564
Ep: 223, Reward: -35.81081081081121, Avg: -58.184797259479176
Ep: 224, Reward: -68.53146853146886, Avg: -58.72196379664572
Ep: 225, Reward: -76.56249999999991, Avg: -58.721963796645724
Ep: 226, Reward: -79.38144329896879, Avg: -58.7779505142796
Ep: 227, Reward: -52.94117647058866, Avg: -58.56710253872575
Ep: 228, Reward: -67.62589928057575, Avg: -58.74969064545556
Ep: 229, Reward: 7.2796934865901815, Avg: -58.37619440989035
Ep: 230, Reward: -60.5263157894742, Avg: -58.25172783805536
Ep: 231, Reward: -66.1654135338346, Avg: -58.20323704585748
Ep: 232, Reward: -71.96261682243009, Avg: -58.167618458837026
Ep: 233, Reward: -70.19867549668896, Avg: -58.04251587662812
Ep: 234, Reward: -45.57823129251747, Avg: -57.82087883471458
Ep: 235, Reward: -71.8309859154931, Avg: -58.29187686591252
Ep: 236, Reward: -56.34920634920685, Avg: -58.03998431401997
Ep: 237, Reward: -45.848375451264026, Avg: -57.835168405232956
Ep: 238, Reward: -58.064516129032874, Avg: -57.81316455990075
Ep: 239, Reward: -57.03125000000049, Avg: -57.785083485603565
Ep: 240, Reward: -81.13207547169777, Avg: -58.27740782454994
