Ep: 252, Reward: -8.3333, Avg: -59.7254
Ep: 253, Reward: -83.9228, Avg: -59.7729
Ep: 254, Reward: -47.5524, Avg: -59.7919
Ep: 255, Reward: -84.4237, Avg: -60.2767
Ep: 256, Reward: -80.7074, Avg: -60.2951
Ep: 257, Reward: -33.3333, Avg: -59.9545
Ep: 258, Reward: -62.2642, Avg: -59.7096
Ep: 259, Reward: -73.3333, Avg: -59.6102
Ep: 260, Reward: -75.3086, Avg: -59.5368
Ep: 261, Reward: -76.5625, Avg: -59.6240
Ep: 262, Reward: -64.0523, Avg: -59.6839
Ep: 263, Reward: -82.8767, Avg: -59.7392
Ep: 264, Reward: -72.1254, Avg: -59.8830
Ep: 265, Reward: -70.6840, Avg: -60.0049
Ep: 266, Reward: -79.9331, Avg: -60.1287
Ep: 267, Reward: -79.4521, Avg: -60.2638
Ep: 268, Reward: -76.1194, Avg: -60.4480
Ep: 269, Reward: -69.8997, Avg: -60.5018
Ep: 270, Reward: -71.2230, Avg: -60.5869
Ep: 271, Reward: -74.0741, Avg: -60.4972
Ep: 272, Reward: -51.6129, Avg: -60.2026
Ep: 273, Reward: -68.1979, Avg: -60.6405
Ep: 274, Reward: -75.0000, Avg: -60.9257
Ep: 275, Reward: -67.8571, Avg: -61.1400
Ep: 276, Reward: -42.9530, Avg: -60.9683
Ep: 277, Reward: -20.9486, Avg: -60.6850
Ep: 278, Reward: -79.0210, Avg: -60.9585
Ep: 279, Reward: -33.8235, Avg: -60.7445
Ep: 280, Reward: -73.4848, Avg: -60.9960
Ep: 281, Reward: -73.3333, Avg: -61.4166
Ep: 282, Reward: -70.5882, Avg: -61.7998
Ep: 283, Reward: -81.8841, Avg: -62.5209
Ep: 284, Reward: -40.7895, Avg: -62.5132
Ep: 285, Reward: -77.4920, Avg: -62.5090
Ep: 286, Reward: -76.0274, Avg: -63.1581
Ep: 287, Reward: -65.2778, Avg: -63.3665
Ep: 288, Reward: -87.9880, Avg: -63.8827
Ep: 289, Reward: -64.2857, Avg: -64.1070
Ep: 290, Reward: -79.2899, Avg: -64.1490
