LR: 0.0001, buffer: 10000, upd: 0.0004
Ep: 232, Reward: -15.662650602409524, Avg: -28.873534387385305
Ep: 233, Reward: -24.731182795698768, Avg: -28.837692093478495
Ep: 234, Reward: -31.74061433447101, Avg: -28.91417414441396
Ep: 235, Reward: -14.498141263941243, Avg: -28.958436132592936
Ep: 236, Reward: 15.646258503401329, Avg: -28.98408217375701
Ep: 237, Reward: -24.187725631768846, Avg: -28.942805308210897
Ep: 238, Reward: -18.36734693877535, Avg: -28.41951907063894
Ep: 239, Reward: -16.981132075471642, Avg: -28.242925162635483
Ep: 240, Reward: -39.29712460063919, Avg: -28.143142785453463
Ep: 241, Reward: -13.857677902622122, Avg: -28.063478522134407
Ep: 242, Reward: -28.825622775800866, Avg: -28.08857685515557
Ep: 243, Reward: -23.566878980892007, Avg: -28.018690089408935
Ep: 244, Reward: -16.083916083916062, Avg: -27.691340273870143
Ep: 245, Reward: -26.66666666666661, Avg: -27.227367209897075
Ep: 246, Reward: -29.054054054053957, Avg: -27.517907750437608
Ep: 247, Reward: -31.147540983606564, Avg: -27.5572312615395
Ep: 248, Reward: -24.901185770751557, Avg: -27.37671291790473
Ep: 249, Reward: -28.315412186380268, Avg: -27.299597679499175
Ep: 250, Reward: -36.70886075949381, Avg: -27.443713314121137
Ep: 251, Reward: -23.61111111111107, Avg: -27.227374857508902
Ep: 252, Reward: -16.666666666666508, Avg: -27.1776236137278
Ep: 253, Reward: -27.79783393501816, Avg: -27.155601953077976
Ep: 254, Reward: -9.638554216867414, Avg: -26.96883337338285
Ep: 255, Reward: -42.307692307692456, Avg: -27.23606614061562
Ep: 256, Reward: -29.765886287625456, Avg: -26.929408456729284
Ep: 257, Reward: 4.693140794223984, Avg: -26.834858001168
Ep: 258, Reward: 22.137404580152946, Avg: -26.218579496767738
Ep: 259, Reward: 19.205298013244338, Avg: -25.665504152418045
Ep: 260, Reward: -32.38434163701064, Avg: -25.79202315407243
Ep: 261, Reward: -22.22222222222214, Avg: -25.44187695524202
Ep: 262, Reward: -47.55244755244818, Avg: -25.686632199997263
Ep: 263, Reward: 17.85714285714252, Avg: -25.69580023502736
Ep: 264, Reward: 2.4844720496895025, Avg: -25.639705514530462
Ep: 265, Reward: -40.000000000000156, Avg: -25.634943609768555
Ep: 266, Reward: -29.29292929292921, Avg: -25.322138135672752
Ep: 267, Reward: -27.536231884057898, Avg: -25.34218130557717
Ep: 268, Reward: -19.413919413920045, Avg: -25.218914356371656
Ep: 269, Reward: -56.521739130435314, Avg: -25.36424224491358
Ep: 270, Reward: -42.49201277955294, Avg: -25.679850631818425
Ep: 271, Reward: -30.69306930693111, Avg: -25.635245488710257
Ep: 272, Reward: -42.56756756756787, Avg: -25.824810053274824
Ep: 273, Reward: -30.555555555556104, Avg: -25.89959637806115
Ep: 274, Reward: -28.348909657320977, Avg: -26.031793961719234
Ep: 275, Reward: -37.704918032787056, Avg: -26.12312885633282
Ep: 276, Reward: -22.535211267605597, Avg: -25.774012883902486
Ep: 277, Reward: -28.104575163398668, Avg: -25.826988460097876
Ep: 278, Reward: -33.56643356643357, Avg: -25.867781000890414
Ep: 279, Reward: 7.246376811594445, Avg: -25.410701848159082
Ep: 280, Reward: 34.45378151260478, Avg: -24.602562500465982
Ep: 281, Reward: 7.142857142857261, Avg: -24.097800595704076
Ep: 282, Reward: -27.536231884058214, Avg: -24.05112901623957
Ep: 283, Reward: -22.261484098939892, Avg: -23.905322804597386
Ep: 284, Reward: -24.73118279569916, Avg: -23.73905438564079
Ep: 285, Reward: 24.52830188679252, Avg: -23.376124307949336
Ep: 286, Reward: -59.86622073578658, Avg: -23.487607028127712
Ep: 287, Reward: 3.2028469750885122, Avg: -23.14523373079062
Ep: 288, Reward: -33.56643356643372, Avg: -23.205035997489432
Ep: 289, Reward: -23.3716475095786, Avg: -22.812902132449157
Ep: 290, Reward: -31.46417445482867, Avg: -23.666005415458972
Ep: 291, Reward: -35.89743589743591, Avg: -23.709911281282647
Ep: 292, Reward: -29.824561403509424, Avg: -23.60942271810255
Ep: 293, Reward: -27.83505154639172, Avg: -23.637773233566467
Ep: 294, Reward: 17.117117117115868, Avg: -23.270460583295634
Ep: 295, Reward: -5.9233449477349325, Avg: -23.19583576505645
Ep: 296, Reward: -24.342105263157823, Avg: -23.301325783205264
Ep: 297, Reward: 13.970588235293254, Avg: -22.816165355397793
Ep: 298, Reward: -25.17006802721082, Avg: -22.837096804900668
Ep: 299, Reward: -28.338762214983706, Avg: -23.15251289680139
Ep: 300, Reward: -28.571428571428626, Avg: -23.18555814336976
Ep: 301, Reward: -25.675675675675627, Avg: -23.09166554947717
Ep: 302, Reward: -33.77483443708624, Avg: -23.298979111239333
Ep: 303, Reward: -27.392739273927326, Avg: -23.277131856091277
Ep: 304, Reward: -30.232558139535005, Avg: -23.24390926472915
Ep: 305, Reward: -22.22222222222288, Avg: -23.355020375840272
Ep: 306, Reward: -34.02777777777781, Avg: -23.20428018954619
Ep: 307, Reward: -33.77483443708638, Avg: -23.197200947710154
Ep: 308, Reward: -29.292929292929298, Avg: -23.197200947710154
Ep: 309, Reward: -62.500000000000554, Avg: -23.522200947710157
