Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 153, Reward: 68.6072, Test: 72.4863, Avg: -25.0038
Ep: 154, Reward: 85.8089, Test: 33.9171, Avg: -23.8718
Ep: 155, Reward: 88.7928, Test: 84.9746, Avg: -22.5693
Ep: 156, Reward: 68.9799, Test: 54.3501, Avg: -21.5215
Ep: 157, Reward: 94.5836, Test: 35.0799, Avg: -20.8046
Ep: 158, Reward: 89.6408, Test: 90.7115, Avg: -19.5290
Ep: 159, Reward: 157.8196, Test: 140.4005, Avg: -17.8532
Ep: 160, Reward: 200.2661, Test: 190.2084, Avg: -15.6374
Ep: 161, Reward: 291.2171, Test: 199.3798, Avg: -13.2317
Ep: 162, Reward: 288.8115, Test: 184.5952, Avg: -11.0502
Ep: 163, Reward: 311.5873, Test: 298.1575, Avg: -7.8070
Ep: 164, Reward: 402.8080, Test: 238.8788, Avg: -5.0008
Ep: 165, Reward: 317.9823, Test: 344.4279, Avg: -1.0157
Ep: 166, Reward: 390.1657, Test: 239.6277, Avg: 1.8930
Ep: 167, Reward: 408.4428, Test: 269.6623, Avg: 5.0396
Ep: 168, Reward: 339.6739, Test: 377.8920, Avg: 9.2313
Ep: 169, Reward: 435.5849, Test: 185.3449, Avg: 11.6532
Ep: 170, Reward: 392.6035, Test: 252.8150, Avg: 14.3284
Ep: 171, Reward: 388.6671, Test: 214.8922, Avg: 16.8937
Ep: 172, Reward: 275.7075, Test: 323.6836, Avg: 20.6441
Ep: 173, Reward: 334.1820, Test: 337.5773, Avg: 24.2642
Ep: 174, Reward: 355.9834, Test: 214.1352, Avg: 26.8266
Ep: 175, Reward: 284.5811, Test: 51.7185, Avg: 27.7777
Ep: 176, Reward: 292.4240, Test: 196.4713, Avg: 30.1950
Ep: 177, Reward: 331.4894, Test: 231.3802, Avg: 33.1505
Ep: 178, Reward: 319.7823, Test: 114.8199, Avg: 34.6402
Ep: 179, Reward: 238.6581, Test: 71.2877, Avg: 36.0190
Ep: 180, Reward: 253.7766, Test: 97.9885, Avg: 37.5475
Ep: 181, Reward: 332.8277, Test: 192.6581, Avg: 39.9129
Ep: 182, Reward: 311.2466, Test: 242.6685, Avg: 42.7663
Ep: 183, Reward: 310.1985, Test: 137.5263, Avg: 44.5582
Ep: 184, Reward: 211.1951, Test: 90.9697, Avg: 45.9255
Ep: 185, Reward: 363.3464, Test: 197.0405, Avg: 48.1897
Ep: 186, Reward: 320.4753, Test: 222.0179, Avg: 50.8546
Ep: 187, Reward: 330.7390, Test: 120.0307, Avg: 52.2703
Ep: 188, Reward: 376.3669, Test: 135.5023, Avg: 54.3162
Ep: 189, Reward: 305.8945, Test: 104.9412, Avg: 55.7463
Ep: 190, Reward: 351.1100, Test: 33.9594, Avg: 56.6596
Ep: 191, Reward: 379.9166, Test: 127.0189, Avg: 58.4700
Ep: 192, Reward: 192.2782, Test: 1.2528, Avg: 59.1204
Ep: 193, Reward: 273.1147, Test: 57.7863, Avg: 60.2327
