Ep: 245, Reward: -77.9412, Avg: -32.6700
Ep: 246, Reward: -61.6725, Avg: -32.5835
Ep: 247, Reward: -11.9318, Avg: -32.3615
Ep: 248, Reward: -65.5172, Avg: -32.4696
Ep: 249, Reward: -76.8977, Avg: -32.9304
Ep: 250, Reward: 1.0101, Avg: -32.8624
Ep: 251, Reward: -29.5775, Avg: -32.5929
Ep: 252, Reward: -51.1401, Avg: -32.5004
Ep: 253, Reward: -30.5019, Avg: -32.0403
Ep: 254, Reward: -6.2500, Avg: -31.7361
Ep: 255, Reward: -63.3700, Avg: -31.9495
Ep: 256, Reward: -25.9259, Avg: -31.4129
Ep: 257, Reward: -19.4139, Avg: -30.8586
Ep: 258, Reward: -19.5402, Avg: -30.4720
Ep: 259, Reward: -19.5804, Avg: -30.1696
Ep: 260, Reward: -64.1694, Avg: -31.0907
Ep: 261, Reward: -47.8022, Avg: -30.7855
Ep: 262, Reward: -45.5782, Avg: -30.5297
Ep: 263, Reward: -20.1389, Avg: -30.0132
Ep: 264, Reward: -72.7626, Avg: -29.9948
Ep: 265, Reward: 50.7353, Avg: -29.5444
Ep: 266, Reward: 5.6338, Avg: -29.0605
Ep: 267, Reward: -18.5185, Avg: -28.6506
Ep: 268, Reward: -41.1765, Avg: -28.4984
Ep: 269, Reward: -51.6129, Avg: -28.8656
Ep: 270, Reward: -6.8966, Avg: -29.3215
Ep: 271, Reward: -47.5309, Avg: -29.2603
Ep: 272, Reward: 1.3986, Avg: -28.8636
Ep: 273, Reward: -39.1635, Avg: -28.8414
Ep: 274, Reward: -13.9073, Avg: -28.3610
Ep: 275, Reward: -14.1791, Avg: -27.8082
Ep: 276, Reward: -37.5000, Avg: -27.8658
Ep: 277, Reward: 12.7820, Avg: -27.7145
Ep: 278, Reward: -37.7163, Avg: -27.7213
Ep: 279, Reward: -37.5000, Avg: -27.8544
Ep: 280, Reward: -69.1120, Avg: -28.2740
Ep: 281, Reward: -64.4970, Avg: -28.6124
Ep: 282, Reward: -34.2561, Avg: -28.5502
Ep: 283, Reward: -56.2290, Avg: -28.7588
Ep: 284, Reward: -32.2034, Avg: -28.7520
Ep: 285, Reward: -60.7843, Avg: -29.1036
Ep: 286, Reward: -50.1779, Avg: -29.2984
Ep: 287, Reward: -5.1095, Avg: -29.1409
Ep: 288, Reward: -19.1176, Avg: -29.1469
Ep: 289, Reward: -72.2222, Avg: -29.5783
Ep: 290, Reward: -19.5804, Avg: -29.5250
Ep: 291, Reward: -34.3629, Avg: -29.4639
Ep: 292, Reward: -77.6952, Avg: -30.0100
Ep: 293, Reward: -80.0664, Avg: -30.4113
Ep: 294, Reward: -74.4409, Avg: -30.9057
Ep: 295, Reward: -54.5455, Avg: -31.0116
Ep: 296, Reward: -32.2034, Avg: -31.0233
Ep: 297, Reward: -79.9331, Avg: -31.4244
Ep: 298, Reward: -10.0719, Avg: -31.2228
Ep: 299, Reward: -57.0552, Avg: -31.4957
Ep: 300, Reward: -40.1408, Avg: -31.9316
Ep: 301, Reward: -79.4521, Avg: -32.7535
Ep: 302, Reward: -61.6725, Avg: -33.0345
Ep: 303, Reward: 71.3147, Avg: -32.1332
Ep: 304, Reward: -14.8148, Avg: -31.8594
Ep: 305, Reward: -75.0000, Avg: -32.2842
Ep: 306, Reward: -8.7719, Avg: -32.0812
Ep: 307, Reward: -43.3962, Avg: -32.3028
Ep: 308, Reward: -34.7826, Avg: -32.3028
Ep: 309, Reward: -34.7079, Avg: -32.3419
Ep: 310, Reward: -27.2727, Avg: -32.4811
Ep: 311, Reward: -65.8703, Avg: -32.8242
Ep: 312, Reward: -31.3725, Avg: -32.5684
Ep: 313, Reward: -23.0769, Avg: -32.5916
Ep: 314, Reward: 6.8966, Avg: -32.1847
Ep: 315, Reward: -24.2424, Avg: -32.0786
Ep: 316, Reward: -73.4219, Avg: -32.3501
Ep: 317, Reward: -79.0941, Avg: -33.0501
Ep: 318, Reward: -43.8596, Avg: -33.3424
Ep: 319, Reward: -65.6250, Avg: -33.6907
Ep: 320, Reward: -64.6302, Avg: -34.0162
Ep: 321, Reward: -69.6970, Avg: -34.3646
Ep: 322, Reward: -35.7798, Avg: -34.2930
Ep: 323, Reward: -43.6620, Avg: -34.6042
Ep: 324, Reward: -23.5294, Avg: -34.9147
Ep: 325, Reward: -82.2064, Avg: -35.3992
Ep: 326, Reward: -46.2025, Avg: -35.7833
Ep: 327, Reward: -56.5217, Avg: -36.1066
Ep: 328, Reward: -36.7470, Avg: -36.5813
Ep: 329, Reward: -62.1993, Avg: -36.9088
Ep: 330, Reward: 2.3891, Avg: -36.7153
Ep: 331, Reward: -14.5907, Avg: -36.5003
Ep: 332, Reward: -3.3457, Avg: -35.7337
Ep: 333, Reward: -2.5271, Avg: -35.5769
Ep: 334, Reward: -62.0690, Avg: -35.8545
Ep: 335, Reward: -24.2902, Avg: -35.9404
Ep: 336, Reward: -24.9147, Avg: -35.8872
Ep: 337, Reward: 23.3333, Avg: -35.8325
Ep: 338, Reward: -56.3758, Avg: -36.1331
Ep: 339, Reward: -23.6641, Avg: -36.2062
Ep: 340, Reward: -49.3243, Avg: -36.3661
Ep: 341, Reward: -34.9845, Avg: -36.4279
Ep: 342, Reward: -75.0890, Avg: -36.7977
Ep: 343, Reward: -28.8026, Avg: -37.2798
Ep: 344, Reward: -39.8281, Avg: -37.5114
Ep: 345, Reward: -23.0769, Avg: -36.9628
Ep: 346, Reward: -32.6923, Avg: -36.6729
Ep: 347, Reward: 25.9542, Avg: -36.2941
Ep: 348, Reward: -82.9352, Avg: -36.4683
Ep: 349, Reward: -23.0769, Avg: -35.9301
Ep: 350, Reward: -35.8108, Avg: -36.2983
Ep: 351, Reward: 4.9180, Avg: -35.9533
Ep: 352, Reward: -57.9288, Avg: -36.0212
Ep: 353, Reward: -16.0584, Avg: -35.8768
Ep: 354, Reward: -27.2727, Avg: -36.0870
Ep: 355, Reward: -23.6364, Avg: -35.6897
Ep: 356, Reward: -39.2971, Avg: -35.8234
Ep: 357, Reward: 11.8644, Avg: -35.5106
Ep: 358, Reward: -23.3577, Avg: -35.5488
Ep: 359, Reward: -37.9562, Avg: -35.7325
Ep: 360, Reward: -17.5627, Avg: -35.2665
Ep: 361, Reward: -9.8039, Avg: -34.8865
Ep: 362, Reward: 21.9512, Avg: -34.2112
Ep: 363, Reward: -23.3449, Avg: -34.2432
Ep: 364, Reward: 9.4340, Avg: -33.4213
Ep: 365, Reward: -34.9845, Avg: -34.2785
Ep: 366, Reward: -21.2329, Avg: -34.5471
Ep: 367, Reward: -32.8358, Avg: -34.6903
Ep: 368, Reward: -42.4460, Avg: -34.7030
Ep: 369, Reward: -33.9623, Avg: -34.5265
Ep: 370, Reward: -29.8246, Avg: -34.7558
Ep: 371, Reward: -16.1290, Avg: -34.4418
Ep: 372, Reward: 45.9075, Avg: -33.9967
Ep: 373, Reward: -20.4152, Avg: -33.8092
Ep: 374, Reward: 48.1481, Avg: -33.1886
Ep: 375, Reward: -66.2921, Avg: -33.7098
Ep: 376, Reward: -3.3333, Avg: -33.3681
Ep: 377, Reward: -38.9068, Avg: -33.8850
Ep: 378, Reward: 33.3333, Avg: -33.1745
Ep: 379, Reward: -57.3171, Avg: -33.3727
Ep: 380, Reward: -51.3678, Avg: -33.1952
Ep: 381, Reward: -18.9189, Avg: -32.7394
Ep: 382, Reward: -45.3925, Avg: -32.8508
Ep: 383, Reward: 72.7575, Avg: -31.5609
Ep: 384, Reward: 17.4377, Avg: -31.0645
Ep: 385, Reward: 35.8491, Avg: -30.0982
Ep: 386, Reward: -36.5079, Avg: -29.9615
Ep: 387, Reward: -41.0029, Avg: -30.3204
Ep: 388, Reward: -26.5734, Avg: -30.3950
Ep: 389, Reward: -51.3889, Avg: -30.1866
Ep: 390, Reward: -39.7590, Avg: -30.3884
Ep: 391, Reward: -40.6250, Avg: -30.4511
Ep: 392, Reward: -37.5000, Avg: -30.0491
Ep: 393, Reward: -17.2414, Avg: -29.4209
Ep: 394, Reward: -19.0141, Avg: -28.8666
Ep: 395, Reward: -7.8014, Avg: -28.3991
Ep: 396, Reward: -53.9877, Avg: -28.6170
Ep: 397, Reward: -38.1107, Avg: -28.1988
Ep: 398, Reward: -28.3388, Avg: -28.3814
Ep: 399, Reward: 34.0996, Avg: -27.4699
Ep: 400, Reward: -30.5556, Avg: -27.3740
Ep: 401, Reward: -28.8136, Avg: -26.8676
Ep: 402, Reward: -16.6667, Avg: -26.4176
Ep: 403, Reward: 69.2308, Avg: -26.4384
Ep: 404, Reward: -53.4050, Avg: -26.8243
Ep: 405, Reward: -23.3449, Avg: -26.3078
Ep: 406, Reward: 4.4304, Avg: -26.1758
Ep: 407, Reward: 12.4031, Avg: -25.6178
Ep: 408, Reward: -26.0563, Avg: -25.5305
Ep: 409, Reward: -12.8920, Avg: -25.3123
Ep: 410, Reward: -25.4237, Avg: -25.2939
Ep: 411, Reward: -34.2105, Avg: -24.9773
Ep: 412, Reward: -22.5806, Avg: -24.8893
Ep: 413, Reward: -37.5000, Avg: -25.0336
Ep: 414, Reward: -28.8256, Avg: -25.3908
Ep: 415, Reward: -23.6364, Avg: -25.3847
Ep: 416, Reward: -36.8030, Avg: -25.0185
Ep: 417, Reward: -43.3962, Avg: -24.6616
Ep: 418, Reward: -35.1536, Avg: -24.5745
Ep: 419, Reward: -34.9845, Avg: -24.2681
Ep: 420, Reward: -44.9275, Avg: -24.0711
Ep: 421, Reward: -53.1773, Avg: -23.9059
Ep: 422, Reward: -21.3483, Avg: -23.7616
