Iteration 0
Ep: 145, Reward: 558.9146, Test: 503.0129, Avg: 401.0559
Ep: 146, Reward: 675.2448, Test: 499.5317, Avg: 405.0880
Ep: 147, Reward: 687.5425, Test: 618.6314, Avg: 409.0927
Ep: 148, Reward: 685.7792, Test: 604.7226, Avg: 413.9586
Ep: 149, Reward: 700.9488, Test: 467.6127, Avg: 417.5713
Ep: 150, Reward: 485.2493, Test: 422.4184, Avg: 421.0976
Ep: 151, Reward: 573.9641, Test: 422.9115, Avg: 423.7684
Ep: 152, Reward: 571.8152, Test: 713.1103, Avg: 429.7472
Ep: 153, Reward: 639.2432, Test: 435.7125, Avg: 433.2350
Ep: 154, Reward: 368.5884, Test: 573.7737, Avg: 438.0827
Ep: 155, Reward: 610.9558, Test: 405.1706, Avg: 440.9396
Ep: 156, Reward: 527.1531, Test: 366.1671, Avg: 443.4987
Ep: 157, Reward: 416.7423, Test: 550.6796, Avg: 447.0309
Ep: 158, Reward: 494.0377, Test: 526.0040, Avg: 449.8068
Ep: 159, Reward: 609.9910, Test: 714.4913, Avg: 454.8223
Ep: 160, Reward: 622.7608, Test: 493.2780, Avg: 456.8202
Ep: 161, Reward: 777.0064, Test: 732.7599, Avg: 461.2850
Ep: 162, Reward: 630.5759, Test: 685.8939, Avg: 463.7984
Ep: 163, Reward: 551.3640, Test: 605.9315, Avg: 465.3608
Ep: 164, Reward: 546.2500, Test: 416.5054, Avg: 463.7658
Ep: 165, Reward: 635.6229, Test: 671.6413, Avg: 465.7800
Ep: 166, Reward: 595.7184, Test: 511.9762, Avg: 466.7241
Ep: 167, Reward: 481.8608, Test: 659.3457, Avg: 470.9753
Ep: 168, Reward: 600.3974, Test: 459.4724, Avg: 473.4876
Ep: 169, Reward: 704.5528, Test: 666.3040, Avg: 476.1870
Ep: 170, Reward: 633.2047, Test: 515.2471, Avg: 477.7666
Ep: 171, Reward: 488.4290, Test: 686.6074, Avg: 480.4189
Ep: 172, Reward: 511.5920, Test: 379.6145, Avg: 478.7473
