Ep: 166, Reward: -24.8780, Test: 1.7163, Avg: 41.3534
Ep: 167, Reward: 21.6774, Test: -4.6273, Avg: 41.8625
Ep: 168, Reward: 17.2608, Test: 40.2632, Avg: 42.2772
Ep: 169, Reward: 14.0676, Test: 33.6122, Avg: 42.6586
Ep: 170, Reward: -2.6286, Test: 26.6997, Avg: 42.9898
Ep: 171, Reward: 9.7855, Test: 27.3125, Avg: 43.6247
Ep: 172, Reward: 21.7418, Test: -14.4422, Avg: 44.0866
Ep: 173, Reward: -1.7644, Test: -22.2625, Avg: 43.5848
Ep: 174, Reward: -17.1027, Test: -21.1709, Avg: 43.1797
Ep: 175, Reward: 5.5669, Test: 26.6568, Avg: 43.2015
Ep: 176, Reward: 13.4029, Test: 22.7258, Avg: 43.5790
Ep: 177, Reward: 9.8120, Test: -3.6650, Avg: 43.0438
Ep: 178, Reward: -39.2137, Test: -37.0713, Avg: 42.1068
Ep: 179, Reward: -33.1290, Test: -49.3469, Avg: 40.9064
Ep: 180, Reward: -54.0715, Test: -71.2240, Avg: 39.3593
Ep: 181, Reward: -63.9464, Test: -63.3144, Avg: 38.7578
Ep: 182, Reward: -68.5795, Test: -48.0161, Avg: 37.6821
Ep: 183, Reward: -64.2591, Test: -68.7239, Avg: 36.8294
Ep: 184, Reward: -62.6588, Test: -57.4938, Avg: 34.4634
Ep: 185, Reward: -47.1514, Test: -45.1567, Avg: 33.9146
Ep: 186, Reward: -57.1385, Test: -50.7792, Avg: 33.3666
Ep: 187, Reward: -56.8462, Test: -62.6546, Avg: 32.9539
Ep: 188, Reward: -61.4642, Test: -75.4980, Avg: 31.5324
Ep: 189, Reward: -64.5687, Test: -71.1451, Avg: 30.5244
Ep: 190, Reward: -69.2339, Test: -64.5601, Avg: 29.7969
Ep: 191, Reward: -70.5388, Test: -74.7766, Avg: 29.1188
Ep: 192, Reward: -72.0209, Test: -66.2587, Avg: 28.4986
Ep: 193, Reward: -69.9032, Test: -73.1787, Avg: 27.3030
Ep: 194, Reward: -66.3940, Test: -72.4850, Avg: 26.4477
Ep: 195, Reward: -72.2459, Test: -57.2226, Avg: 25.2415
Ep: 196, Reward: -60.6801, Test: -71.5691, Avg: 24.7475
Ep: 197, Reward: -69.4214, Test: -71.5567, Avg: 23.5019
Ep: 198, Reward: -66.4182, Test: -71.4753, Avg: 22.0350
Ep: 199, Reward: -68.7929, Test: -67.9910, Avg: 21.0633
